,name,subway,시도,시군구,읍면동,coord,sub_count,sub_list,bus_count,bus_list
1746,대일외고서경대정문,0,서울특별시,성북구,정릉4동,"(127.0131908925, 37.6129217648)",0,[],6,"[(127.0131908925, 37.6129217648), (127.0117827456, 37.61530813955), (127.0130490024, 37.6129626731), (127.0134106075, 37.61159207365), (127.0101608358, 37.6129500434), (127.012839, 37.613269)]"
1747,대조동우체국,0,서울특별시,은평구,대조동,"(126.9265884508, 37.6130748561)",0,[],3,"[(126.9265884508, 37.6130748561), (126.92441979485, 37.61341385175), (126.9282767859, 37.6122913257)]"
1748,대조동주민센터,0,서울특별시,은평구,대조동,"(126.917821606, 37.6140827146)",0,[],9,"[(126.9151778357, 37.61528083655), (126.917473734, 37.6116655944), (126.9173678461, 37.61210523), (126.9162412405, 37.6148239815), (126.9172678516, 37.6143315978), (126.9178874323, 37.6145127694), (126.917821606, 37.6140827146), (126.9188581659, 37.6165184278), (126.9177409601, 37.6146554249)]"
1749,대조시장,0,서울특별시,은평구,대조동,"(126.9264415832, 37.6088941401)",0,[],6,"[(126.9264415832, 37.6088941401), (126.9264463996, 37.6087268317), (126.9289231795, 37.6084558768), (126.9285557171, 37.608478419250005), (126.9240164593, 37.6075848121), (126.927953, 37.609573)]"
1750,대조시장앞,0,서울특별시,은평구,녹번동,"(126.9264463996, 37.6087268317)",0,[],6,"[(126.9264415832, 37.6088941401), (126.9264463996, 37.6087268317), (126.9289231795, 37.6084558768), (126.9285557171, 37.608478419250005), (126.9240164593, 37.6075848121), (126.927953, 37.609573)]"
1751,대주아파트,0,서울특별시,노원구,공릉1동,"(127.07171131106666, 37.62131747286667)",0,[],8,"[(127.0711758892, 37.6229673866), (127.07387121465, 37.6229223604), (127.0724108995, 37.6221526541), (127.0720452524, 37.6204770357), (127.0711133705, 37.6229426601), (127.07171131106666, 37.62131747286667), (127.06925880025, 37.6215292993), (127.06988689275, 37.61969301795)]"
1752,대진고등학교,0,서울특별시,노원구,하계1동,"(127.07538544245, 37.63797453995)",0,[],5,"[(127.0744265397, 37.6383451615), (127.07538544245, 37.63797453995), (127.0760520706, 37.6394263768), (127.0743128874, 37.639369407), (127.0757454244, 37.6392690925)]"
1753,대진여객차고지,0,서울특별시,성북구,정릉4동,"(127.000498754, 37.61763055)",0,[],6,"[(127.000498754, 37.61763055), (127.00138538925, 37.61542927695), (127.0028532999, 37.6170100886), (126.9996468616, 37.6176400874), (127.0028233237, 37.6169229225), (127.000486, 37.61767)]"
1754,대진여자고등학교,0,서울특별시,노원구,중계2.3동,"(127.0670534638, 37.64467212)",1,"[(127.0661, 37.64700089999999)]",5,"[(127.0670534638, 37.64467212), (127.0654180083, 37.6460466232), (127.06385928425, 37.645551695025), (127.0648650883, 37.6457948167), (127.0669992881, 37.6445265547)]"
1755,대청역,0,서울특별시,강남구,개포3동,"(127.0792440457, 37.493281736)",1,"[(127.0795603, 37.4936578)]",5,"[(127.0782775081, 37.493287296), (127.0792440457, 37.493281736), (127.08120582246666, 37.49145846693333), (127.0804487767, 37.4914707163), (127.0799595046, 37.4928624359)]"
1756,대청초등학교,0,서울특별시,강남구,일원1동,"(127.08658839, 37.4938756888)",0,[],4,"[(127.0863493689, 37.4932439854), (127.08658839, 37.4938756888), (127.0876534669, 37.49184299205), (127.0844003613, 37.4925923053)]"
1757,대치2동주민센터.우래옥앞,0,서울특별시,강남구,대치2동,"(127.0666383965, 37.5019094586)",0,[],5,"[(127.0666383965, 37.5019094586), (127.0671134223, 37.5018245581), (127.0657482438, 37.5043659962), (127.0680057746, 37.5012703085), (127.0657710813, 37.5035822216)]"
1758,대치동미도아파트,0,서울특별시,강남구,대치2동,"(127.0676623205, 37.4957033518)",0,[],2,"[(127.0676623205, 37.4957033518), (127.069782467325, 37.496438959475)]"
1759,대치동우성아파트,0,서울특별시,강남구,대치1동,"(127.0595212461, 37.4926990194)",0,[],4,"[(127.0595212461, 37.4926990194), (127.0615358593, 37.4938088824), (127.0621884473, 37.4939086925), (127.0584646, 37.4941846)]"
1760,대치동은마아파트,0,서울특별시,강남구,대치2동,"(127.0685143184, 37.4984748789)",0,[],2,"[(127.0685143184, 37.4984748789), (127.069782467325, 37.496438959475)]"
1761,대치동현대아파트,0,서울특별시,강남구,대치4동,"(127.0591891115, 37.5016508031)",0,[],4,"[(127.0591891115, 37.5016508031), (127.0584437753, 37.5035437117), (127.059740956, 37.5009963744), (127.05655268235, 37.50240010675)]"
