역명,승차총승객수,x,y
약수,6643012.0,37.5547631,127.010496
양원,642683.0,37.6066215,127.1079185
양재,14704636.0,37.4847785,127.0333843
양천구청,2638828.0,37.5125613,126.8657426
양천향교,3167899.0,37.5687017,126.8407869
양평,3721580.0,37.5253177,126.8859538
어린이대공원,5709526.0,37.5471331,127.0739626
언주,3231958.0,37.507503,127.0342544
여의나루,4379479.0,37.5270777,126.9313153
여의도,16505870.0,37.5228115,126.9230345
역삼,17142745.0,37.501249,127.0383318
역촌,1489422.0,37.6054128,126.9232712
연신내,15333413.0,37.6189322,126.9208532
염창,6190662.0,37.5470648,126.8751812
영등포,18315080.0,37.515923,126.9061525
영등포구청,9295693.0,37.5253665,126.8968631
영등포시장,3649038.0,37.5222259,126.9056815
오금,3804515.0,37.503412,127.1261676
오류동,4692464.0,37.4952645,126.8449766
오목교,8837210.0,37.5246783,126.8740097
옥수,3652986.0,37.5400509,127.0177866
온수,6765128.0,37.4922795,126.8239982
올림픽공원,4555437.0,37.5165504,127.1311343
왕십리,15245110.0,37.5611965,127.0360792
외대앞,3848345.0,37.5997138,127.0661704
용답,1012234.0,37.5669045,127.0496653
용두,879160.0,37.5743942,127.0377708
용마산,2314326.0,37.5740327,127.0870583
용산,15563085.0,37.529557,126.9641567
우장산,5720290.0,37.549224,126.8364139
월계,2526251.0,37.6350712,127.0589572
월곡,4682270.0,37.6017485,127.0414156
월드컵경기장,2603543.0,37.5638012,126.8997262
을지로3가,12401789.0,37.5664076,126.9936319
을지로4가,6457006.0,37.5665287,126.9965431
을지로입구,18503834.0,37.5660583,126.9820842
응봉,716981.0,37.5571673,127.0357202
응암,6616385.0,37.5984153,126.9148755
이대,7242883.0,37.5564863,126.9454862
이수,6202525.0,37.4851703,126.9811618
이촌,5094463.0,37.5219498,126.9753786
이태원,5956388.0,37.5345469,126.9946497
일원,3611630.0,37.4840007,127.0844516
잠실,37511472.0,37.5140623,127.1020525
잠실나루,5884830.0,37.5189313,127.104757
잠실새내,9047865.0,37.5115488,127.0891943
잠원,2377290.0,37.5130688,127.0117584
장승배기,4026727.0,37.5047201,126.941072
장지,6921566.0,37.4775778,127.1266153
장한평,6719219.0,37.5619906,127.0641457
제기동,7424120.0,37.5785639,127.0388686
종각,16024397.0,37.5702322,126.9814161
종로3가,22597505.0,37.5712511,126.992266
종로5가,9832671.0,37.571031,127.0019512
종합운동장,6518304.0,37.5111071,127.0742895
중계,5844729.0,37.64700089999999,127.0661
중곡,3791110.0,37.550113,127.0771058
중랑,2140087.0,37.5948117,127.0757881
중앙보훈병원,2686409.0,37.5418674,127.1528053
중화,4275505.0,37.6017123,127.0790562
증미,2462945.0,37.5575455,126.8615822
증산,3873996.0,37.5836499,126.9093766
창동,10635226.0,37.6533776,127.0476817
창신,1358916.0,37.5794492,127.01519
천왕,3540898.0,37.4876724,126.8394019
천호,14089342.0,37.539355,127.1232731
청구,2909377.0,37.5603474,127.0138712
청담,7108602.0,37.518721,127.0492085
청량리,15692570.0,37.58089349999999,127.0456612
총신대입구,7858292.0,37.4875136,126.9820826
충무로,11430241.0,37.5613874,126.9962601
충정로,5607508.0,37.5614133,126.9639202
태릉입구,5510381.0,37.6188279,127.0756298
하계,7215986.0,37.6352525,127.0685278
학동,7647939.0,37.5142998,127.0317742
학여울,1013239.0,37.4957886,127.0717955
한강진,3120436.0,37.5408061,127.0018408
한남,1652217.0,37.5297431,127.0099591
한성대입구,6009173.0,37.5880735,127.00581
한성백제,806717.0,37.5173698,127.1163977
한양대,4047639.0,37.5536986,127.0391633
한티,5469100.0,37.4992221,127.0515614
합정,18016986.0,37.5534256,126.9186096
행당,3143816.0,37.5574251,127.0288558
혜화,15291249.0,37.5818773,127.0022951
홍대입구,34863576.0,37.5595278,126.9247949
홍제,7112289.0,37.5883498,126.9450728
화곡,11009848.0,37.5412334,126.840796
화랑대,4761392.0,37.6198955,127.0832871
회기,10821267.0,37.5907958,127.0593134
회현,11125865.0,37.5588566,126.9776481
효창공원앞,3701915.0,37.5395794,126.9612291
흑석,3693368.0,37.5085362,126.964015
123전자타운.2001아울렛,541368.0,37.4972219267,126.86210671985
12번지건영아파트,274635.0,37.62907495,126.9140229153
14단지상가,254168.0,37.66980764365,127.0595825623
1호선구일역,262729.0,37.4953499886,126.87222392519999
2001아울렛중계점,55898.0,37.6416476079,127.0676813642
201동.동신교회,140703.0,37.4642686071,126.925822589
203동앞,111168.0,37.4646270057,126.9266230554
24시편의점,202711.0,37.6614400008,127.0707202324
2단지종합상가,334819.0,37.463446405,126.9266519382
2호선강남역,311019.0,37.4992255638,127.0271383954
2호선교대역7번출구,102497.0,37.4940683559,127.0145718191
3단지종합상가,283480.0,37.4633028072,126.9266872168
3호선독립문역,116567.0,37.57244175925,126.95845419615
4호선성신여대역,948425.0,37.5922969323,127.0164897918
508단지입구,69365.0,37.59921475355,127.0064444239
508단지장터앞,189816.0,37.599285120000005,127.00554807225001
63빌딩,584668.0,37.5211294782,126.9350317866
63빌딩.가톨릭대학교여의도성모병원,1951774.0,37.5192664138,126.9375307091
6번지입구,60070.0,37.6267409857,126.9190355797
7단지영업소,92559.0,37.65995349565,127.0639250392
7호선가산디지털단지역,239542.0,37.4795062665,126.88208722
7호선노원역,302728.0,37.6544132775,127.0615695313
7호선수락산역,248516.0,37.6756883116,127.05591028514999
7호선신대방삼거리역2번출구.국민은행,668793.0,37.4987106781,126.92868425590001
7호선신대방삼거리역4번출구,110363.0,37.4997823981,126.9267424118
7호선장승배기역.상도2치안센터,1717980.0,37.5042586445,126.9392195498
7호선장승배기역2번출구,183502.0,37.5039480015,126.9389588841
7호선장승배기역5번출구,222819.0,37.5051441568,126.938937313
806의무경찰대.우남아파트,308426.0,37.61824676205,126.90613723179999
8번지슈퍼,91532.0,37.6158503874,127.038032244
8번지입구,276322.0,37.613739000349995,127.0378030236
9호선노량진역.동작구청,490987.0,37.513014209,126.9401346748
AK플라자,62130.0,37.5018671419,126.8825739599
AT센터.양재꽃시장,1526381.0,37.468533,127.039557
BC카드.남부터미널,794879.0,37.4846572778,127.0142415341
BK국제관,102552.0,37.4654068293,126.9579113536
BYC하이시티,39911.0,37.4767727127,126.8830874783
CBS방송국,396835.0,37.5278667944,126.8742356937
CM충무병원,218556.0,37.5183185079,126.9030827618
DMC래미안e-편한세상3단지,309724.0,37.5751176495,126.90689229545
DMC래미안e.편한세상2.4단지,687176.0,37.5767688675,126.9110272958
DMC래미안e.편한세상요진아파트,1231570.0,37.57160971715,126.90996019765001
DMC빌,9524.0,37.5576056062,126.9236050589
DMC첨단산업센터,1505613.0,37.584611597925,126.8858490396
EN갤러리,8652.0,37.6134476936,126.9706925648
GS25,46582.0,37.4902220257,126.8802798538
GS25.한신아파트,114622.0,37.495719504,126.8739050555
GS25앞,44474.0,37.5213608644,126.8879246396
GS강동자이아파트.둔촌동프라자아파트,82341.0,37.5368793039,127.149112949
GS주유소,125935.0,37.5467783786,127.0252357199
GS편의점,42288.0,37.4784516008,126.9305936474
GS편의점.소망유통,256920.0,37.4693252486,126.9686743492
GS편의점.제일영광교회,24576.0,37.60393147455,126.9090160049
GS홈쇼핑앞,63696.0,37.5210309333,126.8900543979
G캐슬아파트,113241.0,37.61528083655,126.9151778357
HCN서초방송,53323.0,37.4823226427,127.0121304421
JNK디지털타워,35541.0,37.482157067,126.8974578564
KBS,191818.0,37.5246594868,126.9182905729
KBS미디어센터,62583.0,37.5762153048,126.8913198665
KBS별관,1396548.0,37.5192529827,126.9317666021
KBS스포츠월드,1235159.0,37.5567989459,126.8498721914
KCC사옥,298559.0,37.5031082219,127.0196771517
KCC웰츠밸리,55285.0,37.4835628112,126.8798394629
KC대학교,318650.0,37.54945129635,126.85125076919999
KEB하나은행,568369.0,37.505659673400004,126.93590268530001
KEB하나은행.오렌지마트,16610.0,37.6113646503,127.0091623713
KT&G관악지점,1219621.0,37.4845125145,126.93671634264999
KT&G영등포지사.문래동종점,39505.0,37.5153454315,126.887395749
KT가양지사,265304.0,37.5646636145,126.8402156081
KT가좌지사,926400.0,37.5823480045,126.9131529627
KT강남지사,658072.0,37.504753713499994,127.041712436
KT강서지사,1059801.0,37.52997487295,126.84772979175
KT관악지점,1666809.0,37.48176031575,126.9477926533
KT광화문지사,1854925.0,37.5724045047,126.9772022826
KT구로지사,1147173.0,37.480670601,126.9051911523
KT도봉지점,27578.0,37.6461120525,127.0348588852
KT동작전화국,75337.0,37.5123646206,126.9345632855
KT동작지사,244775.0,37.512711373,126.93505219105
KT반포지사,156809.0,37.4982048696,126.9925975896
KT삼거리,8628.0,37.4726239536,127.0297380406
KT연구개발센터,10202.0,37.4704850599,127.0301237938
KT연구개발센터정문,58634.0,37.4705515421,127.0300614035
KT용산지사,1802083.0,37.53182706635,126.9703105097
KT용산지점,116356.0,37.5314865893,126.9701255766
KT월곡지사,536414.0,37.602658597550004,127.03452464415
KT전화국,87501.0,37.6548666608,127.0636633104
KT중랑지사,186228.0,37.5903354562,127.0773993654
KT중랑지점,459128.0,37.5907270846,127.0782822433
KT중랑지점사거리,727756.0,37.5917115343,127.08039442033333
LG아파트상가,332427.0,37.488619095,126.9635773362
LG전자,739178.0,37.48192978684,126.88763415152
LG전자.W몰,87359.0,37.4769436943,126.8887094242
LG전자.문래중,184071.0,37.520381476,126.8858759934
LG전자가산A,34487.0,37.4754551762,126.8887189137
LG주유소,27493.0,37.5314251714,126.8562389727
LG트윈타워,362217.0,37.5271392271,126.9269893605
LH3.4단지,84349.0,37.4579725269,127.02281485195
LH5단지,31662.0,37.4594589736,127.0240826152
LH서초아파트,138489.0,37.4601382,127.0253698854
LH이편한세상,185001.0,37.4665038692,127.1017301991
LPG가스충전소,64851.0,37.4907386641,127.0357603485
MBC,574700.0,37.60758942736667,126.9760097357
NC백화점앞,179606.0,37.5594448491,126.8400859231
NH농협장안평지점,657172.0,37.57525866435,127.07185588995
SBS.YTN,321175.0,37.579657030250004,126.8942225824
SBS공개홀,487923.0,37.563584071449995,126.8503333947
SG메디피움,30048.0,37.5051861988,126.9053263866
SG세계물산,15823.0,37.4762757805,126.8894092996
SK아파트,87215.0,37.6197819089,127.011083248
SK아파트벽산아파트상가,691093.0,37.61985727196667,127.01116109596667
SK엔카,36927.0,37.53432268045,126.89246956785
STXV타워,73809.0,37.4769065065,126.88317524435
S마트,72888.0,37.53838326865,126.94748143415
e편한세상금호109동,13788.0,37.5533867851,127.0221425975
e편한세상금호117동,28705.0,37.552549219,127.0248878772
kt연구소,47175.0,37.47165527795,127.03069927945
가구단지,79060.0,37.55834849555,126.96082483585
가동초등학교,28129.0,37.497303625,127.1288850819
가든아파트.수사연구소,183530.0,37.5845407432,127.0723809293
가든파이브,151325.0,37.47830502945,127.1212367956
가든파이브공구상가,390149.0,37.47907445975,127.1192675619
가든호텔.삼성프라자,219118.0,37.54072808565,126.94910369715001
가락1동주민센터,55216.0,37.4961722991,127.109908092
가락2동극동아파트,48960.0,37.4953583307,127.1313629528
가락2동주민센터,55413.0,37.49883986265,127.12681133884999
가락2동프라자아파트,208223.0,37.4930113907,127.13427819415
가락대림아파트,225493.0,37.49867363455,127.11949460004999
가락동극동아파트,309629.0,37.4963478955,127.1317082269
가락동미륭아파트,447778.0,37.4926501022,127.1282464555
가락동쌍용아파트,475964.0,37.4984348876,127.12607458069999
가락동쌍용아파트앞,257987.0,37.4939207444,127.1299505422
가락동제일은행,53188.0,37.4999826063,127.1230730231
가락래미안앞,327998.0,37.4992481293,127.1324835959
가락시장.가락몰,486641.0,37.4915644325,127.1152223085
가락시장.가락시장역,4279720.0,37.49461173018,127.11674246738
가락시장.헬리오시티,252800.0,37.4950632735,127.1063215531
가락시장남문,283200.0,37.4906977124,127.1124540627
가락시장역,645112.0,37.492861626,127.1196649529
가락현대5차아파트,70014.0,37.4995595052,127.131913503
가래여울,68662.0,37.57651403375,127.16894557965
가로공원.나누리병원,1305233.0,37.53708135005,126.836701165525
가로공원공영주차장,252539.0,37.5366802273,126.8331268551
가로공원공영주차장.신영시장,239123.0,37.5364559337,126.8328195049
가리봉시장,1489622.0,37.482636158199995,126.8870897893
가산동기점,26150.0,37.4852999247,126.8752357351
가산동종점,20674.0,37.4852875766,126.8751749959
가산동주민센터,10402.0,37.4767864473,126.890790715
가산동주민센터.금천글로벌센터,834173.0,37.476275903225,126.893000170525
가산디지털단지역,4450675.0,37.48098682711818,126.88301698406363
가산디지털단지역1호선,667889.0,37.4813580466,126.8811766446
가산디지털단지역1호선앞,220286.0,37.480922786,126.8814482716
가산디지털단지역입구,177051.0,37.4823259535,126.8859203707
가산로데오거리,81247.0,37.4781250361,126.88792696
가산빌라,267319.0,37.5848830717,126.9360700099
가산초교,357286.0,37.477087737299996,126.89615652465
가산초등학교,741453.0,37.4783929763,126.8955649777
가야랑앞,112821.0,37.54017484915,126.99367075405
가야메디컬센터,478607.0,37.4933982055,126.9898910752
가양2단지성지아파트.동양고등학교,447575.0,37.569533332649996,126.8470359775
가양2동강변아파트,110011.0,37.5641750745,126.85563388
가양3동도시개발6단지아파트,101546.0,37.5629298254,126.8578895318
가양3동도시개발8단지아파트.가양역,57905.0,37.561862827,126.8556895138
가양3동도시개발9단지아파트,214995.0,37.5597998313,126.8632551936
가양3동주민센터,144045.0,37.5613872729,126.8607307821
가양4.5단지상가앞,34991.0,37.5639844584,126.85265583165
가양7단지상가,31662.0,37.5607186992,126.8615689627
가양7단지상가앞,75697.0,37.5607471891,126.8618951029
가양도시개발4단지아파트,138225.0,37.5653815416,126.8531603674
가양도시개발5단지아파트,137538.0,37.5642788368,126.8550610541
가양도시개발9단지.세현고등학교,237197.0,37.5596961839,126.8638214641
가양동CJ주식회사,197327.0,37.56674372729999,126.84442152935
가양동천주교영등포공업고등학교,135005.0,37.56845844,126.8496170754
가양역.마포중고등학교,3572463.0,37.5592286656,126.85424780695
가양역.우성아파트,638587.0,37.561821340600005,126.85369525825
가양역.현대아파트,293450.0,37.5603875036,126.8565633389
가양역.현대프린스텔,322975.0,37.5603165481,126.8564329524
가양초등학교,327320.0,37.5617998425,126.8595876071
가양한강타운아파트,560598.0,37.570468354,126.84355277625
가오리,287893.0,37.640734457700006,127.01624956284999
가오리역,1193771.0,37.64160515095,127.0167757704
가윤예식장,296525.0,37.492718607,127.1252710296
가재울초등학교,56725.0,37.5747200363,126.9183096617
가족생활동,127767.0,37.4666176659,126.9578228538
가좌역,47941.0,37.5679408681,126.915396626
가좌역1번출구,79798.0,37.5681928654,126.9152459122
가주초등학교,25840.0,37.4972027032,127.1289265748
가회동주민센터,92669.0,37.5799408288,126.98498967245
간호대입구,379101.0,37.59658818733333,126.9486352187
간호대정문,226228.0,37.597060387599996,126.9473859856
갈산초등학교정문,475165.0,37.51275573215,126.8703390503
갈산초등학교후문,227174.0,37.5110786636,126.8694007191
갈월동,3503028.0,37.548960852966665,126.97195003786668
갈월동4호선숙대입구,312300.0,37.5462657464,126.971760229
갈월동사회복지회관,229632.0,37.5453902841,126.974085158
갈현1동주민센터,814735.0,37.62369775138,126.91691075898
갈현노인복지센터,26652.0,37.6247410489,126.9171237476
갈현동미미아파트,187916.0,37.618193459349996,126.91506327995
갈현동성당앞,335406.0,37.620783541250006,126.91647659125
갈현중앙시장,404422.0,37.62334967105,126.9187552674
갈현초교.로데오거리,68240.0,37.6183681456,126.9171889973
감람산기도원,2316.0,37.6159485888,126.9798977194
감리신학대학교,38371.0,37.567971846,126.9625951967
감사원,320315.0,37.58630023305,126.98546871485
갑을.미성아파트,123433.0,37.5352382244,127.1122663607
갑을명가,65099.0,37.4825321749,126.9666428891
갑을명가아파트,120645.0,37.493662839799995,126.93455574194999
갑을빌딩,94559.0,37.5490968333,126.9718891468
갑을씨티텔앞,205999.0,37.6043236614,126.9635570904
갑을아파트,44876.0,37.4898741656,126.9219258914
강남YMCA앞,505769.0,37.511077579900004,127.03617647495
강남경찰서.강남운전면허시험장,1099925.0,37.50971259495,127.06655402685
강남경찰서면허시험장,1106930.0,37.5097668706,127.0659524808
강남교육청,96406.0,37.5114181681,127.0474594292
강남교회.오거리,779915.0,37.51027865645,126.94490404395
강남구민체육관,206762.0,37.4760314034,127.0538310187
강남구청.강남세무서,1816323.0,37.51830711225,127.0476867112
강남구청역,2649930.0,37.517612326775,127.04048900695
강남더샵라르고오피스텔,471359.0,37.4752992568,127.1048225277
강남더샵포레스트아파트,98131.0,37.48209454485,127.0944156351
강남데시앙포레정문,189297.0,37.4816000739,127.0893454321
강남보건소.강남구립국제교육원,856848.0,37.515424209849996,127.04195172365
강남성심병원.대림성모병원,2395929.0,37.49110012365,126.90795871745
강남세브란스병원,357086.0,37.4936291165,127.046226300375
강남슈퍼,8358.0,37.5351948865,126.8510524927
강남스포츠문화센터,28822.0,37.4884984149,127.105265141
강남신동아파밀리에,65246.0,37.4641903818,127.10194743905001
강남역,2212537.0,37.49808170468,127.02791652497999
강남역.9번출구,1171370.0,37.4977090289,127.0265568443
강남역.강남역사거리,666310.0,37.497732613,127.0266304927
강남역.삼성전자,781956.0,37.497012435,127.0278811796
강남역.서초초교앞,309539.0,37.4998028689,127.0265689593
강남역.역삼세무서,1522615.0,37.4982746161,127.0290810871
강남역12번출구,1130429.0,37.4986819561,127.02966242535
강남역티월드,64230.0,37.4946855227,127.0289856171
강남역하나은행,540539.0,37.4969872035,127.027893653
강남우체국,175589.0,37.493287296,127.0782775081
