,gu,dong,code,income_level,pop_density,company
113,성북구,돈암1동,1129058000,7.0,32492,386.0
114,성북구,돈암2동,1129059000,8.0,52142,421.0
115,성북구,안암동,1129060000,7.0,13159,1431.0
116,성북구,보문동,1129061000,7.0,29738,1294.0
117,성북구,정릉1동,1129062000,7.0,44216,757.0
118,성북구,정릉2동,1129063000,7.0,20371,904.0
119,성북구,정릉3동,1129064000,6.0,4645,717.0
120,성북구,정릉4동,1129065000,7.0,8560,929.0
121,성북구,길음1동,1129066000,8.0,46939,1008.0
122,성북구,길음2동,1129068500,7.0,28655,995.0
123,성북구,종암동,1129070500,7.0,28814,2034.0
124,성북구,월곡1동,1129071500,7.0,33979,1361.0
125,성북구,월곡2동,1129072500,7.0,15080,1558.0
126,성북구,장위1동,1129076000,5.0,29417,911.0
127,성북구,장위2동,1129077000,5.0,20854,1106.0
128,성북구,장위3동,1129078000,7.0,27046,597.0
129,성북구,석관동,1129081000,6.0,21102,2163.0
130,강북구,삼양동,1130553400,6.0,28063,1059.0
131,강북구,미아동,1130553500,5.0,24531,1740.0
132,강북구,송중동,1130554500,6.0,30845,2117.0
133,강북구,송천동,1130555500,6.0,31809,2041.0
134,강북구,삼각산동,1130557500,8.0,53065,782.0
135,강북구,번1동,1130559000,5.0,29718,1895.0
136,강북구,번2동,1130560000,5.0,18002,640.0
137,강북구,번3동,1130560600,6.0,16592,869.0
138,강북구,수유1동,1130561000,5.0,13078,1473.0
139,강북구,수유2동,1130562000,6.0,38489,1280.0
140,강북구,수유3동,1130563000,5.0,33422,2542.0
141,강북구,우이동,1130564500,6.0,2081,1016.0
142,강북구,인수동,1130566000,5.0,9897,1560.0
143,도봉구,창1동,1132051100,7.0,29853,1538.0
144,도봉구,창2동,1132051200,6.0,28503,1410.0
145,도봉구,창3동,1132051300,5.0,22055,915.0
146,도봉구,창4동,1132051400,8.0,29034,1319.0
147,도봉구,창5동,1132051500,7.0,36860,2157.0
148,도봉구,도봉1동,1132052100,5.0,2557,1626.0
149,도봉구,도봉2동,1132052200,6.0,34551,1426.0
150,도봉구,쌍문1동,1132066000,6.0,18035,913.0
151,도봉구,쌍문2동,1132067000,6.0,37083,1280.0
152,도봉구,쌍문3동,1132068000,6.0,34524,966.0
153,도봉구,쌍문4동,1132068100,7.0,38098,611.0
154,도봉구,방학1동,1132069000,7.0,43559,2350.0
155,도봉구,방학2동,1132070000,5.0,28568,1219.0
156,도봉구,방학3동,1132071000,7.0,10902,898.0
157,노원구,월계1동,1135056000,6.0,20589,1466.0
158,노원구,월계2동,1135057000,6.0,14066,930.0
159,노원구,월계3동,1135058000,7.0,27003,996.0
160,노원구,공릉1동,1135059500,6.0,27688,2841.0
161,노원구,공릉2동,1135060000,7.0,6022,1955.0
162,노원구,하계1동,1135061100,8.0,18906,1088.0
163,노원구,하계2동,1135061200,7.0,45722,414.0
164,노원구,중계본동,1135061900,8.0,13135,1205.0
165,노원구,중계1동,1135062100,8.0,44541,1050.0
166,노원구,중계4동,1135062400,7.0,12544,1059.0
167,노원구,중계2·3동,1135062500,7.0,40848,
168,노원구,상계1동,1135063000,7.0,7139,3183.0
169,노원구,상계2동,1135064000,7.0,34787,2668.0
170,노원구,상계3·4동,1135066500,6.0,4594,
171,노원구,상계5동,1135067000,6.0,57916,1567.0
172,노원구,상계6·7동,1135069500,7.0,31214,
173,노원구,상계8동,1135070000,7.0,35751,484.0
174,노원구,상계9동,1135071000,7.0,27060,698.0
175,노원구,상계10동,1135072000,7.0,20774,515.0
176,은평구,녹번동,1138051000,6.0,21459,1962.0
177,은평구,불광1동,1138052000,7.0,13073,1627.0
178,은평구,불광2동,1138053000,6.0,21414,1295.0
179,은평구,갈현1동,1138055100,6.0,25295,1498.0
180,은평구,갈현2동,1138055200,6.0,31406,1579.0
181,은평구,구산동,1138056000,6.0,24496,1216.0
182,은평구,대조동,1138057000,6.0,32835,2430.0
183,은평구,응암1동,1138058000,6.0,21378,1661.0
184,은평구,응암2동,1138059000,7.0,32649,707.0
185,은평구,응암3동,1138060000,6.0,41398,1768.0
186,은평구,역촌동,1138062500,6.0,41802,2534.0
187,은평구,신사1동,1138063100,6.0,34012,1347.0
188,은평구,신사2동,1138063200,6.0,21875,1704.0
189,은평구,증산동,1138064000,7.0,19965,945.0
190,은평구,수색동,1138065000,7.0,6940,514.0
191,은평구,진관동,1138069000,8.0,5031,1894.0
192,서대문구,천연동,1141052000,8.0,19282,915.0
193,서대문구,북아현동,1141055500,8.0,38098,862.0
194,서대문구,충현동,1141056500,7.0,16172,1817.0
195,서대문구,신촌동,1141058500,7.0,9267,3901.0
196,서대문구,연희동,1141061500,7.0,13554,2352.0
197,서대문구,홍제1동,1141062000,7.0,20323,1154.0
198,서대문구,홍제3동,1141064000,7.0,20272,1157.0
199,서대문구,홍제2동,1141065500,8.0,13876,594.0
200,서대문구,홍은1동,1141066000,7.0,14495,999.0
201,서대문구,홍은2동,1141068500,6.0,13783,1219.0
202,서대문구,남가좌1동,1141069000,8.0,33173,691.0
203,서대문구,남가좌2동,1141070000,7.0,33697,1310.0
204,서대문구,북가좌1동,1141071000,8.0,34836,681.0
205,서대문구,북가좌2동,1141072000,6.0,40250,2443.0
206,마포구,아현동,1144055500,9.0,33366,1619.0
207,마포구,공덕동,1144056500,8.0,40108,2756.0
208,마포구,도화동,1144058500,8.0,36442,2082.0
209,마포구,용강동,1144059000,8.0,26715,2566.0
210,마포구,대흥동,1144060000,7.0,15426,1571.0
211,마포구,염리동,1144061000,7.0,31363,726.0
212,마포구,신수동,1144063000,8.0,30612,1209.0
213,마포구,서강동,1144065500,8.0,18043,1828.0
214,마포구,서교동,1144066000,7.0,15756,9552.0
215,마포구,합정동,1144068000,7.0,11135,2397.0
216,마포구,망원1동,1144069000,6.0,19342,1899.0
217,마포구,망원2동,1144070000,7.0,28934,1348.0
218,마포구,연남동,1144071000,7.0,26489,1915.0
219,마포구,성산1동,1144072000,6.0,25205,1534.0
