,gu,dong,code,income_level,pop_density,address,x,y
101,중랑구,상봉2동,1126059000,6,29182,서울시 중랑구 상봉2동,37.59309160000001,127.0809054
102,중랑구,중화1동,1126060000,6,30759,서울시 중랑구 중화1동,37.6026989,127.0815695
103,중랑구,중화2동,1126061000,5,27831,서울시 중랑구 중화2동,37.5956718,127.0720429
104,중랑구,묵1동,1126062000,7,30013,서울시 중랑구 묵1동,37.6132254,127.0816525
105,중랑구,묵2동,1126063000,6,28430,서울시 중랑구 묵2동,37.6059665,127.0783572
106,중랑구,망우본동,1126065500,6,10789,서울시 중랑구 망우본동,37.6025377,127.1050101
107,중랑구,망우3동,1126066000,5,18122,서울시 중랑구 망우3동,127.106336,37.6014603
108,중랑구,신내1동,1126068000,6,16148,서울시 중랑구 신내1동,37.6111837,127.1025032
109,중랑구,신내2동,1126069000,7,22126,서울시 중랑구 신내2동,37.6108929,127.0925667
110,성북구,성북동,1129052500,7,6148,서울시 성북구 성북동,37.5952093,126.9978087
111,성북구,삼선동,1129055500,7,28275,서울시 성북구 삼선동,37.5867232,127.0117083
112,성북구,동선동,1129057500,7,22296,서울시 성북구 동선동,37.59377509999999,127.0179706
113,성북구,돈암1동,1129058000,7,32492,서울시 성북구 돈암1동,37.60321649999999,127.0261753
114,성북구,돈암2동,1129059000,8,52142,서울시 성북구 돈암2동,37.5977421,127.0124752
115,성북구,안암동,1129060000,7,13159,서울시 성북구 안암동,37.586288,127.0261105
116,성북구,보문동,1129061000,7,29738,서울시 성북구 보문동,37.5823948,127.0192971
117,성북구,정릉1동,1129062000,7,44216,서울시 성북구 정릉1동,37.60307299999999,127.013482
118,성북구,정릉2동,1129063000,7,20371,서울시 성북구 정릉2동,37.60658610000001,127.0130205
119,성북구,정릉3동,1129064000,6,4645,서울시 성북구 정릉3동,37.6089333,127.0041887
120,성북구,정릉4동,1129065000,7,8560,서울시 성북구 정릉4동,37.6056991,127.0175664
121,성북구,길음1동,1129066000,8,46939,서울시 성북구 길음1동,37.6077624,127.0199553
122,성북구,길음2동,1129068500,7,28655,서울시 성북구 길음2동,37.6082954,127.0270747
123,성북구,종암동,1129070500,7,28814,서울시 성북구 종암동,37.5971752,127.0338975
124,성북구,월곡1동,1129071500,7,33979,서울시 성북구 월곡1동,37.6105027,127.0357126
125,성북구,월곡2동,1129072500,7,15080,서울시 성북구 월곡2동,37.6057257,127.0478505
126,성북구,장위1동,1129076000,5,29417,서울시 성북구 장위1동,37.6116363,127.0434302
127,성북구,장위2동,1129077000,5,20854,서울시 성북구 장위2동,37.6114474,127.0577383
128,성북구,장위3동,1129078000,7,27046,서울시 성북구 장위3동,37.6177719,127.0538521
129,성북구,석관동,1129081000,6,21102,서울시 성북구 석관동,37.6082694,127.0614872
130,강북구,삼양동,1130553400,6,28063,서울시 강북구 삼양동,37.6243311,127.0167583
131,강북구,미아동,1130553500,5,24531,서울시 강북구 미아동,37.6281999,127.0262498
132,강북구,송중동,1130554500,6,30845,서울시 강북구 송중동,37.6178374,127.0326782
133,강북구,송천동,1130555500,6,31809,서울시 강북구 송천동,37.61832810000001,127.0246048
134,강북구,삼각산동,1130557500,8,53065,서울시 강북구 삼각산동,37.6174656,127.0174811
135,강북구,번1동,1130559000,5,29718,서울시 강북구 번1동,37.63730109999999,127.0308775
136,강북구,번2동,1130560000,5,18002,서울시 강북구 번2동,37.6298562,127.0340769
137,강북구,번3동,1130560600,6,16592,서울시 강북구 번3동,37.6249835,127.0426421
138,강북구,수유1동,1130561000,5,13078,서울시 강북구 수유1동,37.6319434,127.0112795
139,강북구,수유2동,1130562000,6,38489,서울시 강북구 수유2동,37.6448833,127.0199194
140,강북구,수유3동,1130563000,5,33422,서울시 강북구 수유3동,37.6407404,127.0231016
141,강북구,우이동,1130564500,6,2081,서울시 강북구 우이동,37.6572676,127.003039
142,강북구,인수동,1130566000,5,9897,서울시 강북구 인수동,37.639078,127.0113295
143,도봉구,창1동,1132051100,7,29853,서울시 도봉구 창1동,37.65185,127.0503526
144,도봉구,창2동,1132051200,6,28503,서울시 도봉구 창2동,37.6413143,127.0354614
145,도봉구,창3동,1132051300,5,22055,서울시 도봉구 창3동,37.63780029999999,127.0395247
146,도봉구,창4동,1132051400,8,29034,서울시 도봉구 창4동,37.6449634,127.055145
147,도봉구,창5동,1132051500,7,36860,서울시 도봉구 창5동,37.6562472,127.0435717
148,도봉구,도봉1동,1132052100,5,2557,서울시 도봉구 도봉1동,37.65185,127.0503526
149,도봉구,도봉2동,1132052200,6,34551,서울시 도봉구 도봉2동,37.67984970000001,127.0495817
150,도봉구,쌍문1동,1132066000,6,18035,서울시 도봉구 쌍문1동,127.026028,37.6480221
151,도봉구,쌍문2동,1132067000,6,37083,서울시 도봉구 쌍문2동,37.6613576,127.0375166
152,도봉구,쌍문3동,1132068000,6,34524,서울시 도봉구 쌍문3동,37.6505533,127.0322396
153,도봉구,쌍문4동,1132068100,7,38098,서울시 도봉구 쌍문4동,37.6564869,127.0284248
154,도봉구,방학1동,1132069000,7,43559,서울시 도봉구 방학1동,37.6648172,127.0424203
155,도봉구,방학2동,1132070000,5,28568,서울시 도봉구 방학2동,37.66910650000001,127.0323527
156,도봉구,방학3동,1132071000,7,10902,서울시 도봉구 방학3동,37.6599686,127.0240179
157,노원구,월계1동,1135056000,6,20589,서울시 노원구 월계1동,37.6219654,127.0585916
158,노원구,월계2동,1135057000,6,14066,서울시 노원구 월계2동,37.6341057,127.0512947
159,노원구,월계3동,1135058000,7,27003,서울시 노원구 월계3동,37.6238001,127.0646875
160,노원구,공릉1동,1135059500,6,27688,서울시 노원구 공릉1동,37.6238137,127.0735097
161,노원구,공릉2동,1135060000,7,6022,서울시 노원구 공릉2동,37.6321366,127.0914306
162,노원구,하계1동,1135061100,8,18906,서울시 노원구 하계1동,37.6393637,127.0751344
163,노원구,하계2동,1135061200,7,45722,서울시 노원구 하계2동,37.6352145,127.0648065
164,노원구,중계본동,1135061900,8,13135,서울시 노원구 중계본동,37.6475494,127.0843318
165,노원구,중계1동,1135062100,8,44541,서울시 노원구 중계1동,37.6499994,127.073947
166,노원구,중계4동,1135062400,7,12544,서울시 노원구 중계4동,37.6579542,127.0780747
167,노원구,중계2·3동,1135062500,7,40848,서울시 노원구 중계2·3동,37.6420907,127.0687149
168,노원구,상계1동,1135063000,7,7139,서울시 노원구 상계1동,37.6809223,127.0619306
169,노원구,상계2동,1135064000,7,34787,서울시 노원구 상계2동,37.656471,127.0662494
170,노원구,상계3·4동,1135066500,6,4594,서울시 노원구 상계3·4동,37.6728292,127.0832618
171,노원구,상계5동,1135067000,6,57916,서울시 노원구 상계5동,37.66451010000001,127.0701682
172,노원구,상계6·7동,1135069500,7,31214,서울시 노원구 상계6·7동,37.6426761,127.0555474
173,노원구,상계8동,1135070000,7,35751,서울시 노원구 상계8동,37.6657968,127.0543753
174,노원구,상계9동,1135071000,7,27060,서울시 노원구 상계9동,37.6673935,127.0619788
175,노원구,상계10동,1135072000,7,20774,서울시 노원구 상계10동,37.6597393,127.0604535
176,은평구,녹번동,1138051000,6,21459,서울시 은평구 녹번동,37.6046138,126.9323836
177,은평구,불광1동,1138052000,7,13073,서울시 은평구 불광1동,37.6158738,126.9335258
178,은평구,불광2동,1138053000,6,21414,서울시 은평구 불광2동,37.6239169,126.9269733
179,은평구,갈현1동,1138055100,6,25295,서울시 은평구 갈현1동,37.6246865,126.9157626
180,은평구,갈현2동,1138055200,6,31406,서울시 은평구 갈현2동,37.6176447,126.9131039
181,은평구,구산동,1138056000,6,24496,서울시 은평구 구산동,37.611231,126.9088437
182,은평구,대조동,1138057000,6,32835,서울시 은평구 대조동,37.6122556,126.9231527
183,은평구,응암1동,1138058000,6,21378,서울시 은평구 응암1동,37.59904909999999,126.9261628
184,은평구,응암2동,1138059000,7,32649,서울시 은평구 응암2동,37.5921823,126.9221307
185,은평구,응암3동,1138060000,6,41398,서울시 은평구 응암3동,37.5892206,126.9180335
186,은평구,역촌동,1138062500,6,41802,서울시 은평구 역촌동,37.6045773,126.9146251
187,은평구,신사1동,1138063100,6,34012,서울시 은평구 신사1동,37.5986664,126.910344
188,은평구,신사2동,1138063200,6,21875,서울시 은평구 신사2동,37.5929504,126.9073938
