,gu,dong,code,income_level,pop_density,label,address
106,중랑구,망우본동,1126065500,6.0,10789,0,서울특별시 중랑구 망우본동
107,중랑구,망우3동,1126066000,5.0,18122,3,서울특별시 중랑구 망우3동
108,중랑구,신내1동,1126068000,6.0,16148,0,서울특별시 중랑구 신내1동
109,중랑구,신내2동,1126069000,7.0,22126,0,서울특별시 중랑구 신내2동
110,성북구,성북동,1129052500,7.0,6148,0,서울특별시 성북구 성북동
111,성북구,삼선동,1129055500,7.0,28275,1,서울특별시 성북구 삼선동
112,성북구,동선동,1129057500,7.0,22296,0,서울특별시 성북구 동선동
113,성북구,돈암1동,1129058000,7.0,32492,1,서울특별시 성북구 돈암1동
114,성북구,돈암2동,1129059000,8.0,52142,1,서울특별시 성북구 돈암2동
115,성북구,안암동,1129060000,7.0,13159,0,서울특별시 성북구 안암동
116,성북구,보문동,1129061000,7.0,29738,1,서울특별시 성북구 보문동
117,성북구,정릉1동,1129062000,7.0,44216,1,서울특별시 성북구 정릉1동
118,성북구,정릉2동,1129063000,7.0,20371,0,서울특별시 성북구 정릉2동
119,성북구,정릉3동,1129064000,6.0,4645,0,서울특별시 성북구 정릉3동
120,성북구,정릉4동,1129065000,7.0,8560,0,서울특별시 성북구 정릉4동
121,성북구,길음1동,1129066000,8.0,46939,1,서울특별시 성북구 길음1동
122,성북구,길음2동,1129068500,7.0,28655,1,서울특별시 성북구 길음2동
123,성북구,종암동,1129070500,7.0,28814,1,서울특별시 성북구 종암동
124,성북구,월곡1동,1129071500,7.0,33979,1,서울특별시 성북구 월곡1동
125,성북구,월곡2동,1129072500,7.0,15080,0,서울특별시 성북구 월곡2동
126,성북구,장위1동,1129076000,5.0,29417,3,서울특별시 성북구 장위1동
127,성북구,장위2동,1129077000,5.0,20854,3,서울특별시 성북구 장위2동
128,성북구,장위3동,1129078000,7.0,27046,1,서울특별시 성북구 장위3동
129,성북구,석관동,1129081000,6.0,21102,3,서울특별시 성북구 석관동
130,강북구,삼양동,1130553400,6.0,28063,3,서울특별시 강북구 삼양동
131,강북구,미아동,1130553500,5.0,24531,3,서울특별시 강북구 미아동
132,강북구,송중동,1130554500,6.0,30845,3,서울특별시 강북구 송중동
133,강북구,송천동,1130555500,6.0,31809,3,서울특별시 강북구 송천동
134,강북구,삼각산동,1130557500,8.0,53065,1,서울특별시 강북구 삼각산동
135,강북구,번1동,1130559000,5.0,29718,3,서울특별시 강북구 번1동
136,강북구,번2동,1130560000,5.0,18002,3,서울특별시 강북구 번2동
137,강북구,번3동,1130560600,6.0,16592,0,서울특별시 강북구 번3동
138,강북구,수유1동,1130561000,5.0,13078,0,서울특별시 강북구 수유1동
139,강북구,수유2동,1130562000,6.0,38489,3,서울특별시 강북구 수유2동
140,강북구,수유3동,1130563000,5.0,33422,3,서울특별시 강북구 수유3동
141,강북구,우이동,1130564500,6.0,2081,0,서울특별시 강북구 우이동
142,강북구,인수동,1130566000,5.0,9897,0,서울특별시 강북구 인수동
143,도봉구,창1동,1132051100,7.0,29853,1,서울특별시 도봉구 창1동
144,도봉구,창2동,1132051200,6.0,28503,3,서울특별시 도봉구 창2동
145,도봉구,창3동,1132051300,5.0,22055,3,서울특별시 도봉구 창3동
146,도봉구,창4동,1132051400,8.0,29034,1,서울특별시 도봉구 창4동
147,도봉구,창5동,1132051500,7.0,36860,1,서울특별시 도봉구 창5동
